"Time","PulseRate","SpO2","PulseWaveform","BarGraph","SignalStrength","Beep","FingerOut","Searching","DroppingSpO2","ProbeError"
"2019-10-13 01:46:34.875452",0,0,55,6,5,False,False,False,False,False
"2019-10-13 01:46:34.892080",0,0,57,7,5,False,False,False,False,False
"2019-10-13 01:46:34.908866",0,0,57,7,5,False,False,False,False,False
"2019-10-13 01:46:34.925395",0,0,56,7,5,True,False,False,False,False
"2019-10-13 01:46:34.942186",0,0,53,6,5,True,False,False,False,False
"2019-10-13 01:46:34.958968",0,0,50,6,5,False,False,False,False,False
"2019-10-13 01:46:34.975583",0,0,47,5,5,False,False,False,False,False
"2019-10-13 01:46:34.992260",0,0,44,5,5,False,False,False,False,False
"2019-10-13 01:46:35.009100",0,0,41,5,5,False,False,False,False,False
"2019-10-13 01:46:35.025756",0,0,40,5,5,False,False,False,False,False
"2019-10-13 01:46:35.042455",0,0,38,4,5,False,False,False,False,False
"2019-10-13 01:46:35.058968",0,0,35,4,5,False,False,False,False,False
"2019-10-13 01:46:35.075773",0,0,33,4,5,False,False,False,False,False
"2019-10-13 01:46:35.092607",0,0,31,3,5,False,False,False,False,False
"2019-10-13 01:46:35.109212",0,0,30,3,5,False,False,False,False,False
"2019-10-13 01:46:35.125989",0,0,29,3,5,False,False,False,False,False
"2019-10-13 01:46:35.142591",0,0,28,3,5,False,False,False,False,False
"2019-10-13 01:46:35.159380",0,0,27,3,5,False,False,False,False,False
"2019-10-13 01:46:35.176076",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:35.192736",0,0,25,3,5,False,False,False,False,False
"2019-10-13 01:46:35.209468",0,0,25,3,5,False,False,False,False,False
"2019-10-13 01:46:35.226096",0,0,24,3,5,False,False,False,False,False
"2019-10-13 01:46:35.242800",0,0,23,2,5,False,False,False,False,False
"2019-10-13 01:46:35.259464",0,0,22,2,5,False,False,False,False,False
"2019-10-13 01:46:35.276225",0,0,22,2,5,False,False,False,False,False
"2019-10-13 01:46:35.292963",0,0,21,2,5,False,False,False,False,False
"2019-10-13 01:46:35.309540",0,0,21,2,5,False,False,False,False,False
"2019-10-13 01:46:35.326303",0,0,21,2,5,False,False,False,False,False
"2019-10-13 01:46:35.343001",0,0,21,2,5,False,False,False,False,False
"2019-10-13 01:46:35.359692",0,0,23,2,5,False,False,False,False,False
"2019-10-13 01:46:35.376458",0,0,27,3,5,False,False,False,False,False
"2019-10-13 01:46:35.393087",0,0,32,4,5,False,False,False,False,False
"2019-10-13 01:46:35.409790",0,0,38,4,5,False,False,False,False,False
"2019-10-13 01:46:35.426497",0,0,43,5,5,False,False,False,False,False
"2019-10-13 01:46:35.443177",0,0,49,6,5,False,False,False,False,False
"2019-10-13 01:46:35.459917",0,0,53,6,5,False,False,False,False,False
"2019-10-13 01:46:35.476555",0,0,54,6,5,False,False,False,False,False
"2019-10-13 01:46:35.493274",0,0,52,6,5,True,False,False,False,False
"2019-10-13 01:46:35.510018",0,0,48,6,5,True,False,False,False,False
"2019-10-13 01:46:35.526640",0,0,42,5,5,False,False,False,False,False
"2019-10-13 01:46:35.543416",0,0,36,4,5,False,False,False,False,False
"2019-10-13 01:46:35.559955",0,0,28,3,5,False,False,False,False,False
"2019-10-13 01:46:35.576777",0,0,21,2,5,False,False,False,False,False
"2019-10-13 01:46:35.593586",0,0,14,1,5,False,False,False,False,False
"2019-10-13 01:46:35.610179",0,0,7,0,5,False,False,False,False,False
"2019-10-13 01:46:35.626914",0,0,3,0,5,False,False,False,False,False
"2019-10-13 01:46:35.643522",0,0,0,0,5,False,False,False,False,False
"2019-10-13 01:46:35.660327",0,0,0,0,5,False,False,False,False,False
"2019-10-13 01:46:35.677100",0,0,0,0,5,False,False,False,False,False
"2019-10-13 01:46:35.693738",0,0,1,0,5,False,False,False,False,False
"2019-10-13 01:46:35.710424",0,0,3,0,5,False,False,False,False,False
"2019-10-13 01:46:35.727099",0,0,6,0,5,False,False,False,False,False
"2019-10-13 01:46:35.743830",0,0,9,1,5,False,False,False,False,False
"2019-10-13 01:46:35.760619",0,0,12,1,5,False,False,False,False,False
"2019-10-13 01:46:35.777203",0,0,15,1,5,False,False,False,False,False
"2019-10-13 01:46:35.810580",0,0,20,2,5,False,False,False,False,False
"2019-10-13 01:46:35.827363",0,0,23,2,5,False,False,False,False,False
"2019-10-13 01:46:35.844111",0,0,26,3,5,False,False,False,False,False
"2019-10-13 01:46:35.860701",0,0,28,3,5,False,False,False,False,False
"2019-10-13 01:46:35.877525",0,0,31,3,5,False,False,False,False,False
"2019-10-13 01:46:35.894091",0,0,33,4,5,False,False,False,False,False
"2019-10-13 01:46:35.910858",0,0,34,4,5,False,False,False,False,False
"2019-10-13 01:46:35.927570",0,0,36,4,5,False,False,False,False,False
"2019-10-13 01:46:35.944227",0,0,38,4,5,False,False,False,False,False
"2019-10-13 01:46:35.960955",0,0,40,5,5,False,False,False,False,False
"2019-10-13 01:46:35.977534",0,0,41,5,5,False,False,False,False,False
"2019-10-13 01:46:35.994236",0,0,42,5,5,False,False,False,False,False
"2019-10-13 01:46:36.011087",0,0,43,5,5,False,False,False,False,False
"2019-10-13 01:46:36.027623",0,0,43,5,5,False,False,False,False,False
"2019-10-13 01:46:36.044378",0,0,43,5,5,False,False,False,False,False
"2019-10-13 01:46:36.061067",0,0,46,5,4,True,False,False,False,False
"2019-10-13 01:46:36.077751",0,0,44,5,4,True,False,False,False,False
"2019-10-13 01:46:36.094558",0,0,42,5,4,False,False,False,False,False
"2019-10-13 01:46:36.111168",0,0,41,5,4,False,False,False,False,False
"2019-10-13 01:46:36.127945",0,0,40,5,4,False,False,False,False,False
"2019-10-13 01:46:36.144534",0,0,39,4,4,False,False,False,False,False
"2019-10-13 01:46:36.161313",0,0,40,5,4,False,False,False,False,False
"2019-10-13 01:46:36.178003",0,0,43,5,4,False,False,False,False,False
"2019-10-13 01:46:36.194704",0,0,51,6,4,False,False,False,False,False
"2019-10-13 01:46:36.211361",0,0,62,7,4,False,False,False,False,False
"2019-10-13 01:46:36.228038",0,0,75,9,4,False,False,False,False,False
"2019-10-13 01:46:36.244823",0,0,88,11,4,False,False,False,False,False
"2019-10-13 01:46:36.261540",0,0,98,12,4,False,False,False,False,False
"2019-10-13 01:46:36.278178",0,0,105,13,4,False,False,False,False,False
"2019-10-13 01:46:36.294850",0,0,106,13,4,False,False,False,False,False
"2019-10-13 01:46:36.311564",0,0,103,12,4,False,False,False,False,False
"2019-10-13 01:46:36.328276",0,0,98,12,4,True,False,False,False,False
"2019-10-13 01:46:36.344987",0,0,91,11,4,True,False,False,False,False
"2019-10-13 01:46:36.361717",0,0,84,10,4,False,False,False,False,False
"2019-10-13 01:46:36.378440",0,0,77,9,4,False,False,False,False,False
"2019-10-13 01:46:36.395034",0,0,71,8,4,False,False,False,False,False
"2019-10-13 01:46:36.411836",0,0,66,8,4,False,False,False,False,False
"2019-10-13 01:46:36.428547",0,0,61,7,4,False,False,False,False,False
"2019-10-13 01:46:36.445209",0,0,58,7,4,False,False,False,False,False
"2019-10-13 01:46:36.461987",0,0,56,7,4,False,False,False,False,False
"2019-10-13 01:46:36.478588",0,0,56,7,4,False,False,False,False,False
"2019-10-13 01:46:36.495326",0,0,56,7,4,False,False,False,False,False
"2019-10-13 01:46:36.512092",0,0,58,7,4,False,False,False,False,False
"2019-10-13 01:46:36.528717",0,0,59,7,4,False,False,False,False,False
"2019-10-13 01:46:36.545403",0,0,60,7,4,False,False,False,False,False
"2019-10-13 01:46:36.562127",0,0,61,7,4,False,False,False,False,False
"2019-10-13 01:46:36.578831",0,0,60,7,4,False,False,False,False,False
