TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-10-12 10:13:06.164,1.1285694,1.2183485,0.0,0.36392534,1.3009582,0.39585525,0.0,0.5390092,1.3769957,0.3709887,0.0,0.66320604,1.4361383,0.09411141,0.0,0.82632536,0.72324294,-0.26295397,0.0,0.24101809,811.50183,649.12085,325.9707,829.6337,508.49817,0.4661865234375,-0.01275634765625,0.8634033203125,4.91973876953125,2.803802490234375,0.10467529296875,1,2.0,1.0,2.0,2.0,100.00
2019-10-12 10:13:07.190,1.9859759,1.2183485,0.0,0.36392534,1.3083665,0.39585525,0.0,0.5390092,1.233619,0.3709887,0.0,0.66320604,1.2145594,0.09411141,0.0,0.82632536,0.31728533,-0.26295397,0.0,0.24101809,823.1868,770.40295,379.96338,756.30035,734.5421,0.5208740234375,-0.00726318359375,0.88385009765625,17.9144287109375,-8.650665283203125,13.809661865234375,1,1.0,1.0,2.0,1.0,100.00
2019-10-12 10:13:07.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-10-12 10:13:08.196,1.9859759,1.2183485,0.0,0.36392534,1.3083665,0.39585525,0.0,0.5390092,1.233619,0.3709887,0.0,0.66320604,1.2145594,0.09411141,0.0,0.82632536,0.31728533,-0.26295397,0.0,0.24101809,821.978,769.59705,550.40295,821.1722,810.696,0.28704833984375,-0.20843505859375,0.95550537109375,-1.55517578125,1.734619140625,-1.577606201171875,1,1.0,1.0,2.0,1.0,100.00
2019-10-12 10:13:09.231,1.9859759,1.2183485,0.0,0.36392534,1.3083665,0.39585525,0.0,0.5390092,1.233619,0.3709887,0.0,0.66320604,1.2145594,0.09411141,0.0,0.82632536,0.31728533,-0.26295397,0.0,0.24101809,825.6044,768.3883,454.10257,761.53845,578.20514,0.20318603515625,-0.50164794921875,0.8514404296875,1.936492919921875,-2.100982666015625,-20.299530029296875,1,1.0,1.0,2.0,1.0,100.00
2019-10-12 10:13:09.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-10-12 10:13:10.248,1.9859759,1.2183485,0.0,0.36392534,1.3083665,0.39585525,0.0,0.5390092,1.233619,0.3709887,0.0,0.66320604,1.2145594,0.09411141,0.0,0.82632536,0.31728533,-0.26295397,0.0,0.24101809,767.5824,760.7326,323.15018,820.7692,644.2857,0.47711181640625,0.31964111328125,0.8350830078125,1.637420654296875,-6.766510009765625,-14.706878662109375,1,2.0,1.0,2.0,2.0,90.00
2019-10-12 10:13:10.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-10-12 10:13:11.266,1.9859759,1.2183485,0.0,0.36392534,1.3083665,0.39585525,0.0,0.5390092,1.233619,0.3709887,0.0,0.66320604,1.2145594,0.09411141,0.0,0.82632536,0.31728533,-0.26295397,0.0,0.24101809,778.86444,855.82416,271.5751,679.7436,562.0879,0.09869384765625,-0.046630859375,0.97540283203125,-11.880645751953125,1.4056396484375,126.55990600585938,1,2.0,1.0,2.0,2.0,90.00
2019-10-12 10:13:11.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
